"GRAPH","Parameters","Size","Build time","Avg degree","Max degree"
"Vamana","R = 64, L = 128",1000000,6.60312,48.0984,64

"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","Average Visited","Tail Visited","k","Q","cut"
10000,0.5,0.56582,1.48192e+06,436,484,10,10,10,10,1.35
10000,0.6,0.64864,1.57704e+06,507,582,11,11,10,11,1.35
10000,0.7,0.71481,1.18708e+06,575,685,12,12,10,12,1.35
10000,0.75,0.75935,1.11995e+06,634,781,13,13,10,13,1.35
10000,0.8,0.84484,1.07147e+06,760,1176,16,23,10,10,1.35
10000,0.85,0.8717,1.1279e+06,832,1280,18,24,10,12,1.35
10000,0.9,0.90244,785299,940,1408,20,27,10,15,1.35
10000,0.93,0.93119,671051,1094,1613,24,31,10,19,1.35
10000,0.95,0.95205,602228,1282,1863,29,36,10,24,1.35
10000,0.97,0.97068,474947,1577,2260,37,43,10,32,1.35
10000,0.98,0.9803,404433,1874,2649,45,51,10,40,1.35
10000,0.99,0.99109,293100,2628,3677,64,70,10,60,1.35
10000,0.995,0.99543,239958,3167,4576,83,90,10,80,1.35
10000,0.999,0.99918,140082,4883,7858,147,171,10,160,1.35
10000,0.9995,0.99959,119637,5447,9302,173,213,10,200,1.35
10000,0.9999,0.9999,95081.4,6351,11831,211,290,10,275,1.35
10000,0.99995,0.99996,66142.8,7920,18945,276,519,10,500,1.35
10000,0.99999,1,17680,19625,31776,1021,1067,10,1000,10


